session_id,user_id,timestamp,ip_address,mouse_movements,keyboard_inputs,time_on_page,js_enabled,is_bot
84,13,08-02-2024 12.08,196.90.140.18,66,13,56,1,0
85,33,03-01-2024 2.12,128.49.240.31,89,27,198,1,0
86,9,08-08-2024 6.37,132.160.160.187,24,79,125,1,1
87,33,20-04-2024 13.29,190.96.86.131,5,6,159,1,0
88,20,24-08-2024 1.08,75.67.174.121,19,8,100,1,1
89,44,24-05-2024 2.50,24.131.96.226,22,30,64,1,0
90,36,17-07-2024 17.44,139.63.166.39,5,65,23,1,1
91,41,07-06-2024 10.23,119.100.105.150,49,12,68,1,0
92,23,02-02-2024 13.01,157.105.103.158,93,87,43,1,1
93,6,03-05-2024 3.02,52.78.86.94,43,2,126,1,1
94,41,11-04-2024 1.07,103.36.214.117,19,94,66,1,1
95,46,13-05-2024 3.17,26.73.227.67,54,70,45,1,1
96,12,24-01-2024 5.05,196.157.175.191,41,45,177,1,1
97,11,01-07-2024 22.45,60.90.4.113,23,40,136,1,1
98,45,12-08-2024 2.45,175.69.35.158,50,4,175,1,0
99,43,29-08-2024 20.59,140.156.207.113,4,39,49,1,1
100,15,04-08-2024 6.41,186.12.12.52,38,24,25,1,1
101,28,04-03-2024 22.54,187.176.142.64,79,22,105,1,0
102,16,16-05-2024 6.15,61.67.17.214,46,100,39,1,0
103,2,07-04-2024 14.06,216.109.90.54,31,26,77,1,1
104,38,29-08-2024 14.39,88.247.142.190,40,11,122,1,1
105,25,01-06-2024 14.46,218.98.76.199,16,53,72,1,1
106,1,22-04-2024 12.06,158.139.152.184,44,96,24,1,1
107,7,30-07-2024 23.03,129.119.171.228,97,27,11,1,0
108,24,28-07-2024 3.38,3.136.69.252,71,58,21,1,1
109,49,17-01-2024 11.01,35.255.252.197,46,57,50,1,1
110,32,21-01-2024 12.31,218.145.228.192,92,29,55,1,0
111,42,24-04-2024 0.26,126.252.101.193,92,18,18,1,0
112,42,19-02-2024 2.51,221.157.233.117,96,98,35,1,1
113,21,07-01-2024 17.47,122.95.224.192,82,79,102,1,1
114,11,07-04-2024 17.36,6.194.72.61,49,32,198,1,1
115,22,21-06-2024 14.16,129.69.241.9,44,26,38,1,0
116,9,31-03-2024 13.47,69.149.96.241,69,46,78,1,1
117,25,16-07-2024 4.32,5.203.185.55,87,57,120,1,1
118,13,09-02-2024 11.23,122.40.71.208,40,82,85,1,1
119,36,17-01-2024 16.37,183.128.2.226,43,33,42,1,0
120,33,20-05-2024 22.30,41.127.89.107,27,82,24,1,1
121,8,20-07-2024 2.18,210.131.35.76,87,70,170,1,0
122,11,15-03-2024 4.27,107.43.2.151,95,72,50,1,0
123,26,19-05-2024 19.08,101.233.120.17,81,35,131,1,1
124,33,11-06-2024 21.25,125.250.131.93,1,73,167,1,0
125,42,05-07-2024 16.48,38.22.180.39,86,79,105,1,1
126,46,02-06-2024 9.38,222.245.10.12,61,29,144,1,0
127,5,31-07-2024 0.36,170.107.200.111,61,89,40,1,1
128,23,15-06-2024 7.02,60.55.171.224,43,8,200,1,1
129,41,14-06-2024 4.02,108.142.15.155,70,95,35,1,1
130,22,05-07-2024 13.38,162.37.63.125,46,52,105,1,0
131,19,09-08-2024 10.37,139.8.140.134,1,56,123,1,1
132,11,06-08-2024 21.01,150.11.180.75,81,40,95,1,0
133,46,09-05-2024 7.58,45.8.21.122,54,74,68,1,0
134,11,09-08-2024 7.48,223.2.3.194,22,37,74,1,1
135,42,21-01-2024 23.39,186.124.35.29,27,99,155,1,1
136,29,24-02-2024 3.12,64.81.46.135,86,94,172,1,1
137,31,12-02-2024 1.10,86.169.50.0,72,46,150,1,0
138,50,25-04-2024 1.00,108.12.207.188,56,81,133,1,0
139,24,29-04-2024 10.36,18.82.160.167,62,91,136,1,1
140,3,25-07-2024 3.34,205.111.144.71,70,72,171,1,1
141,19,08-02-2024 14.46,54.240.121.64,12,14,18,1,0
142,23,07-05-2024 3.18,47.96.139.62,60,51,151,1,0
143,49,18-08-2024 11.35,68.203.67.85,7,55,158,1,0
144,14,09-08-2024 10.03,155.193.132.214,9,47,107,1,0
145,4,07-04-2024 9.54,180.66.99.60,58,58,196,1,1
146,15,02-04-2024 11.27,212.75.85.93,47,32,161,1,1
147,35,08-02-2024 18.56,164.68.191.164,33,46,36,1,1
148,47,18-03-2024 14.32,14.84.125.235,14,42,195,1,0
149,11,20-02-2024 9.56,160.135.141.239,70,79,112,1,1
150,3,04-02-2024 5.38,66.202.221.203,41,38,87,1,0
151,37,30-08-2024 12.12,122.29.129.111,43,82,62,1,0
152,34,04-08-2024 12.00,114.58.142.13,25,97,98,1,1
153,23,07-01-2024 20.10,92.63.64.72,81,64,178,1,1
154,47,28-01-2024 15.12,166.199.172.57,68,44,114,1,0
155,30,27-06-2024 1.21,161.33.109.86,59,25,68,1,0
156,49,21-08-2024 23.13,63.160.77.102,87,48,119,1,1
157,32,03-05-2024 1.37,25.209.7.205,41,69,132,1,1
158,16,14-03-2024 18.04,112.59.101.78,65,47,197,1,0
159,11,30-05-2024 2.35,16.124.240.58,8,5,160,1,0
160,30,08-08-2024 13.38,81.252.25.130,38,70,146,1,0
161,16,05-02-2024 5.31,11.158.85.6,9,40,59,1,1
162,25,06-01-2024 7.19,72.138.201.117,29,47,50,1,1
163,7,12-01-2024 1.58,206.183.65.150,35,23,111,1,1
164,5,20-07-2024 23.13,169.214.46.99,71,22,128,1,1
165,19,22-03-2024 17.38,216.87.74.81,10,82,73,1,1
166,38,13-06-2024 20.26,44.74.44.198,54,16,53,1,1
167,41,22-08-2024 9.19,104.126.109.23,79,10,169,1,1
168,37,06-03-2024 2.33,205.54.39.155,42,27,89,1,0
169,20,10-02-2024 5.32,137.222.182.193,77,29,133,1,0
170,7,05-05-2024 16.04,43.59.92.82,34,75,169,1,0
171,2,25-04-2024 17.16,175.27.251.153,29,68,38,1,1
172,5,01-06-2024 2.53,2.65.37.25,34,39,191,1,1
173,16,20-06-2024 2.03,131.154.200.207,47,62,163,1,0
174,34,20-06-2024 2.29,11.234.122.73,29,80,171,1,0
175,43,12-06-2024 4.31,207.113.33.120,62,3,155,1,1
176,12,21-01-2024 17.58,190.53.38.101,76,83,43,1,1
177,30,01-06-2024 22.33,44.126.21.240,53,30,198,1,1
178,49,29-05-2024 12.50,17.77.240.90,29,11,140,1,0
179,19,26-06-2024 14.47,184.119.35.140,17,72,182,1,1
180,31,16-06-2024 23.27,83.48.136.21,84,29,198,1,1
181,23,31-01-2024 1.20,67.211.235.24,40,4,142,1,1
182,2,20-07-2024 3.03,71.149.235.69,6,37,69,1,1
183,45,11-04-2024 9.30,116.78.143.132,52,82,16,1,1
184,42,09-02-2024 22.43,201.39.233.84,11,28,52,1,1
185,16,04-07-2024 17.50,11.222.118.235,65,29,87,1,0
186,19,26-01-2024 10.34,111.95.196.57,88,14,138,1,0
187,17,23-01-2024 1.39,130.121.109.36,84,86,64,1,1
188,26,24-02-2024 23.52,67.197.237.89,15,75,77,1,1
189,20,25-08-2024 3.14,149.122.234.167,31,89,49,1,0
190,21,07-06-2024 18.50,57.3.194.120,65,87,88,1,0
191,44,07-08-2024 3.07,54.223.243.37,84,12,18,1,0
192,17,13-03-2024 13.29,65.3.165.124,7,90,128,1,0
193,39,25-06-2024 9.46,89.31.186.230,19,56,187,1,0
194,42,06-03-2024 2.43,147.125.183.4,29,52,150,1,0
195,8,23-06-2024 19.33,171.239.53.245,80,63,142,1,1
196,7,17-02-2024 7.08,46.103.110.42,11,88,61,1,0
197,6,04-04-2024 2.22,52.215.222.130,23,32,188,1,0
198,18,12-08-2024 21.32,140.11.211.4,79,18,58,1,1
199,23,19-05-2024 15.26,153.118.68.91,26,70,118,1,1
200,10,29-08-2024 10.50,82.157.191.97,62,91,188,1,0
201,15,16-02-2024 0.34,175.52.144.195,60,74,59,1,0
202,24,09-07-2024 14.25,115.8.101.179,32,40,20,1,1
203,43,27-04-2024 11.18,109.86.218.108,38,85,129,1,1
204,40,28-08-2024 7.42,149.200.58.2,8,52,168,1,0
205,24,27-07-2024 14.40,52.106.221.198,21,67,184,1,0
206,45,30-04-2024 11.17,213.168.93.111,100,20,51,1,0
207,24,10-04-2024 7.20,165.23.22.4,85,64,131,1,0
208,10,17-02-2024 8.53,53.44.75.169,64,90,169,1,0
209,39,07-04-2024 11.35,30.8.243.89,43,41,38,1,1
210,16,16-01-2024 20.27,209.30.98.28,14,92,13,1,0
211,25,10-05-2024 17.48,3.243.87.60,84,19,141,1,0
212,11,24-05-2024 5.32,87.114.12.198,62,20,76,1,0
213,3,16-04-2024 20.25,114.173.196.0,54,51,166,1,1
214,13,29-05-2024 18.53,143.13.147.162,84,1,197,1,0
215,20,14-05-2024 10.58,184.24.183.60,93,15,28,1,1
216,25,18-07-2024 20.48,129.15.30.246,78,100,56,1,1
217,50,13-08-2024 0.05,219.186.116.104,79,47,38,1,1
218,49,26-04-2024 14.47,42.227.152.150,1,70,15,1,1
219,1,26-07-2024 17.28,76.157.24.216,42,51,110,1,1
220,26,21-02-2024 6.34,16.178.17.38,41,34,95,1,0
221,16,20-05-2024 20.37,208.154.126.86,60,99,59,1,1
222,27,09-01-2024 18.45,41.15.136.14,35,92,22,1,1
223,36,24-05-2024 13.41,109.161.168.171,96,17,93,1,0
224,33,26-01-2024 4.11,25.233.25.142,65,12,75,1,1
225,27,13-01-2024 0.09,147.216.150.61,12,79,131,1,1
226,7,27-06-2024 16.28,92.189.153.143,33,45,180,1,0
227,31,30-04-2024 10.32,218.199.141.197,62,32,171,1,0
228,30,21-03-2024 17.49,99.120.99.8,23,18,91,1,0
229,4,25-08-2024 5.44,70.118.62.247,45,51,58,1,1
230,48,18-06-2024 0.26,38.118.81.179,99,73,52,1,0
231,22,07-03-2024 12.58,15.254.50.17,47,16,90,1,0
232,43,28-06-2024 4.22,144.109.93.213,86,44,62,1,0
233,17,01-05-2024 2.14,57.101.173.125,24,20,63,1,1
234,32,22-04-2024 1.45,189.215.129.57,45,58,120,1,0
235,11,25-03-2024 2.27,136.145.189.146,14,100,176,1,0
236,6,07-06-2024 17.42,168.220.127.149,5,73,23,1,1
237,49,08-05-2024 18.19,14.200.217.43,36,37,105,1,1
238,19,17-05-2024 4.54,173.163.251.245,41,4,152,1,0
239,44,17-01-2024 12.56,113.201.206.0,96,46,159,1,1
240,39,09-01-2024 16.35,93.253.175.239,88,15,108,1,0
241,34,29-04-2024 17.49,62.172.115.108,51,97,54,1,1
242,15,25-04-2024 4.07,8.243.211.202,17,57,175,1,1
243,27,12-04-2024 10.42,22.173.8.227,23,87,139,1,0
244,3,07-08-2024 21.02,59.219.112.195,30,31,20,1,0
245,11,16-05-2024 23.05,116.83.34.74,83,59,49,1,1
246,1,11-06-2024 18.01,168.0.90.159,58,55,179,1,1
247,36,22-04-2024 18.32,194.152.167.244,30,6,198,1,1
248,29,21-03-2024 9.47,175.11.208.220,85,21,119,1,1
249,31,18-04-2024 5.33,20.47.241.24,74,32,128,1,0
250,45,04-07-2024 17.49,68.93.7.76,22,6,155,1,0
251,1,02-08-2024 16.16,193.225.215.103,45,79,190,1,0
252,8,08-03-2024 8.39,86.37.179.129,58,9,187,1,1
253,42,30-07-2024 13.09,41.213.106.42,69,43,65,1,0
254,48,16-06-2024 13.51,45.27.216.124,29,37,132,1,0
255,15,11-05-2024 3.10,190.33.229.19,34,37,50,1,1
256,49,06-03-2024 9.33,98.183.91.252,81,55,113,1,1
257,41,06-03-2024 1.15,106.154.83.248,85,38,185,1,1
258,33,15-06-2024 14.22,26.51.157.108,71,93,154,1,0
259,6,21-03-2024 3.43,104.96.148.149,37,56,28,1,0
260,19,08-04-2024 16.48,117.134.92.154,2,54,184,1,0
261,25,08-08-2024 0.13,76.117.60.10,25,94,41,1,1
262,19,12-01-2024 23.15,222.98.45.216,93,15,197,1,0
263,32,19-08-2024 18.53,134.158.60.47,1,46,99,1,1
264,11,29-08-2024 20.31,152.215.2.177,45,97,152,1,1
265,16,07-07-2024 22.52,180.0.101.105,54,53,24,1,1
266,11,05-03-2024 13.50,210.193.80.126,31,57,23,1,1
267,28,07-06-2024 3.27,31.197.172.218,17,34,19,1,0
268,39,03-08-2024 7.55,105.157.51.88,96,75,199,1,0
269,36,13-06-2024 17.14,131.221.121.212,28,46,149,1,1
270,44,05-02-2024 12.38,131.196.208.164,86,29,108,1,1
271,29,15-03-2024 16.01,206.0.95.184,34,46,101,1,0
272,40,15-07-2024 1.07,132.47.225.149,65,68,163,1,0
273,7,19-03-2024 17.42,181.7.173.217,75,67,117,1,1
274,10,23-07-2024 21.06,10.233.11.65,80,5,177,1,0
275,12,06-05-2024 0.24,186.137.55.252,1,13,92,1,1
276,44,24-05-2024 20.06,212.133.241.127,50,26,109,1,0
277,50,07-08-2024 18.45,169.13.165.119,3,81,156,1,1
278,34,31-01-2024 8.06,132.6.9.204,23,95,79,1,0
279,4,19-06-2024 18.21,25.232.25.13,73,89,55,1,1
280,35,18-08-2024 17.28,189.14.146.58,20,67,163,1,1
281,5,23-03-2024 10.46,11.44.136.36,30,55,14,1,1
282,13,11-03-2024 14.02,198.247.156.0,45,52,169,1,1
283,28,01-08-2024 8.01,34.137.230.253,94,77,190,1,0
284,12,06-08-2024 20.06,159.166.45.194,61,48,90,1,1
285,13,12-03-2024 9.30,39.5.223.11,93,41,40,1,1
286,10,11-05-2024 9.20,22.160.219.22,80,82,53,1,1
287,31,27-04-2024 2.51,65.136.155.45,1,7,32,1,1
288,19,21-06-2024 2.09,194.133.39.227,77,10,119,1,1
289,42,29-06-2024 21.03,130.239.18.120,15,8,129,1,0
290,37,08-08-2024 10.32,198.24.44.204,55,93,91,1,1
291,31,15-01-2024 17.30,121.133.250.152,20,70,69,1,1
292,6,30-01-2024 17.12,200.72.89.245,1,24,112,1,1
293,44,31-07-2024 21.03,183.103.172.153,95,92,70,1,1
294,1,17-05-2024 7.19,6.97.31.166,84,4,73,1,0
295,44,22-03-2024 8.22,173.153.252.178,27,99,30,1,1
296,39,24-08-2024 8.24,191.184.69.179,86,27,192,1,1
297,4,28-07-2024 2.16,198.166.114.64,20,33,63,1,1
298,13,02-02-2024 2.42,142.24.196.215,31,42,109,1,0
299,19,12-08-2024 23.53,113.90.21.9,21,99,200,1,0
300,32,28-07-2024 13.03,80.61.53.112,10,32,61,1,0
301,22,01-07-2024 15.19,140.132.206.178,28,97,161,1,1
302,47,26-05-2024 0.45,181.115.148.220,25,28,83,1,0
303,47,01-01-2024 0.55,25.7.44.250,15,83,34,1,1
304,7,27-01-2024 2.50,44.128.167.19,54,63,156,1,1
305,47,17-02-2024 15.13,6.194.182.134,35,73,33,1,0
306,23,08-08-2024 12.16,18.44.78.151,42,35,183,1,0
307,11,05-06-2024 11.27,163.231.228.231,47,9,90,1,1
308,40,12-01-2024 0.39,93.243.0.240,96,79,143,1,0
309,1,13-01-2024 5.54,123.93.152.60,92,83,10,1,1
310,20,22-01-2024 19.35,216.67.31.213,73,88,150,1,0
311,35,19-06-2024 20.14,98.151.157.82,7,38,14,1,0
312,1,06-06-2024 20.44,66.242.135.170,70,90,163,1,1
313,33,04-06-2024 5.25,180.239.77.150,4,85,59,1,0
314,9,28-02-2024 16.08,18.92.133.146,100,17,106,1,0
315,31,19-07-2024 8.39,29.132.187.50,92,6,157,1,0
316,9,20-03-2024 18.16,135.26.114.193,10,27,31,1,0
317,5,28-06-2024 16.27,198.153.17.29,16,83,80,1,0
318,34,19-03-2024 21.19,32.219.253.194,26,74,33,1,0
319,17,01-03-2024 4.44,126.63.26.3,56,62,52,1,1
320,14,04-03-2024 13.00,39.89.152.119,80,7,50,1,0
321,12,22-08-2024 0.53,2.110.155.252,2,60,189,1,1
322,31,07-04-2024 12.18,108.113.43.153,15,54,123,1,0
323,8,25-01-2024 20.50,9.205.109.219,45,37,66,1,0
324,38,13-02-2024 3.43,44.159.56.39,73,75,35,1,0
325,30,09-03-2024 3.24,43.105.154.236,48,63,55,1,1
326,45,09-08-2024 20.09,49.4.47.10,95,72,18,1,0
327,14,20-07-2024 13.52,161.27.90.108,77,80,71,1,0
328,34,02-05-2024 5.22,144.89.33.221,14,85,79,1,1
329,42,21-03-2024 13.08,97.172.97.168,34,59,197,1,1
330,11,22-08-2024 15.44,106.158.144.36,6,1,37,1,1
331,30,28-07-2024 3.07,7.35.57.1,68,54,149,1,0
332,46,18-01-2024 14.35,99.154.151.122,20,1,75,1,1
333,13,16-02-2024 1.27,51.225.85.215,88,42,197,1,0
334,16,19-06-2024 18.48,105.249.223.208,28,30,75,1,1
335,41,16-05-2024 18.35,167.55.57.136,29,46,84,1,0
336,6,10-01-2024 3.33,138.20.195.58,25,44,32,1,0
337,21,22-07-2024 11.44,121.171.195.31,21,82,132,1,0
338,16,16-06-2024 23.46,115.207.218.211,27,84,13,1,1
339,46,20-08-2024 7.28,112.73.131.126,35,85,93,1,1
340,29,09-06-2024 5.10,146.60.131.71,10,86,74,1,0
341,40,15-01-2024 21.51,155.108.29.87,13,71,51,1,0
342,32,20-04-2024 10.16,221.148.175.76,29,53,76,1,0
343,19,22-01-2024 0.22,106.19.119.102,68,51,24,1,1
344,6,09-07-2024 5.48,210.186.100.234,16,33,157,1,0
345,22,19-01-2024 3.45,49.29.211.29,54,8,24,1,0
346,10,15-02-2024 19.46,140.75.253.19,75,35,30,1,1
347,22,24-08-2024 6.29,211.47.68.23,78,65,107,1,1
348,39,13-02-2024 1.35,180.93.26.254,28,78,166,1,1
349,5,28-01-2024 11.17,178.243.146.164,68,83,54,1,0
350,32,06-01-2024 7.31,130.91.77.152,77,87,169,1,0
351,5,02-01-2024 9.27,195.119.0.95,7,16,50,1,1
352,6,24-04-2024 18.05,167.245.208.132,79,37,180,1,1
353,47,02-07-2024 18.29,4.165.69.36,4,68,110,1,1
354,23,13-07-2024 17.56,221.137.63.29,35,22,41,1,1
355,34,17-07-2024 17.25,47.116.51.37,32,11,38,1,0
356,50,04-08-2024 16.15,37.245.181.135,90,81,45,1,0
357,42,25-07-2024 5.14,14.84.117.27,93,73,138,1,1
358,31,23-06-2024 8.25,36.68.151.229,26,57,81,1,1
359,33,22-03-2024 6.30,200.26.21.5,2,83,125,1,0
360,45,23-02-2024 11.51,106.178.32.110,53,73,36,1,1
361,13,11-02-2024 15.17,194.238.255.185,63,95,113,1,1
362,43,16-03-2024 2.03,210.16.23.123,14,52,46,1,1
363,11,25-01-2024 9.15,92.95.239.113,8,32,14,1,1
364,21,23-06-2024 1.37,198.167.48.106,12,57,61,1,0
365,49,17-02-2024 20.30,205.128.75.214,33,37,146,1,1
366,15,01-01-2024 8.45,15.53.35.247,37,51,83,1,0
367,22,19-05-2024 9.20,126.79.240.229,75,63,121,1,1
368,26,17-02-2024 14.32,31.232.7.206,64,11,50,1,1
369,21,08-07-2024 20.30,34.160.2.115,62,98,41,1,1
370,1,01-01-2024 0.55,55.64.13.146,40,65,109,1,0
371,28,30-06-2024 5.57,217.37.166.95,81,28,129,1,1
372,46,15-02-2024 19.50,200.5.179.72,5,46,165,1,1
373,44,26-07-2024 6.44,21.105.88.61,12,48,56,1,0
374,2,23-05-2024 11.21,58.213.155.167,65,45,68,1,1
375,50,07-06-2024 1.18,128.44.212.181,73,67,177,1,1
376,18,01-08-2024 23.59,153.255.15.240,88,20,145,1,0
377,35,26-03-2024 13.21,220.239.118.53,31,19,184,1,1
378,19,29-02-2024 0.03,151.20.233.210,56,45,178,1,0
379,20,30-07-2024 1.55,38.182.94.217,68,58,168,1,0
380,2,05-08-2024 2.24,122.204.72.176,59,87,45,1,0
381,38,06-08-2024 17.48,69.242.254.83,76,3,95,1,0
382,5,11-04-2024 10.34,164.88.156.79,44,5,70,1,0
383,37,07-02-2024 21.47,42.229.60.206,55,47,151,1,1
384,4,02-06-2024 8.02,96.217.230.27,24,44,199,1,0
385,41,15-05-2024 5.13,138.132.1.160,1,94,28,1,1
386,38,16-06-2024 13.25,121.207.176.9,70,57,11,1,1
387,25,16-02-2024 8.45,132.114.32.162,3,49,38,1,0
388,16,17-03-2024 12.36,152.96.179.85,10,12,102,1,1
389,27,11-02-2024 9.28,2.60.222.21,40,21,69,1,1
390,23,03-05-2024 21.01,64.176.155.117,88,22,85,1,1
391,29,30-08-2024 23.17,35.212.65.174,72,70,199,1,1
392,39,17-08-2024 9.34,70.219.162.2,76,2,35,1,0
393,5,24-05-2024 10.05,11.111.160.190,46,64,125,1,0
394,32,30-01-2024 19.54,192.190.26.223,100,67,164,1,0
395,24,21-06-2024 12.32,128.180.152.5,9,88,78,1,1
396,38,03-03-2024 16.52,39.149.124.86,23,77,190,1,0
397,20,14-06-2024 22.36,209.121.167.165,80,3,184,1,0
398,49,12-01-2024 1.04,78.28.121.201,6,63,74,1,0
399,11,13-02-2024 3.49,32.33.89.200,4,14,109,1,0
400,15,24-07-2024 23.51,2.131.255.114,88,8,44,1,0
401,10,04-02-2024 17.50,135.40.245.249,79,46,83,1,1
402,33,25-08-2024 6.45,116.27.116.86,74,1,153,1,0
403,3,22-05-2024 14.21,140.31.182.94,73,55,101,1,0
404,41,24-06-2024 7.46,152.249.154.30,94,89,101,1,0
405,4,28-03-2024 13.36,212.43.129.99,52,44,13,1,0
406,44,11-01-2024 4.33,176.69.176.156,100,63,125,1,1
407,23,03-01-2024 23.12,111.132.78.58,38,85,81,1,0
408,4,05-05-2024 19.46,193.175.233.171,54,58,163,1,0
409,28,01-03-2024 12.34,172.84.36.16,4,47,153,1,1
410,25,27-06-2024 8.26,205.199.136.161,35,58,60,1,0
411,27,16-02-2024 15.23,217.123.172.235,5,39,51,1,1
412,41,07-06-2024 10.35,22.249.3.150,45,32,49,1,1
413,14,13-03-2024 17.52,178.244.159.104,89,13,26,1,0
414,10,19-07-2024 12.28,209.108.33.144,98,29,136,1,0
415,26,14-08-2024 23.10,156.88.169.214,8,31,44,1,1
416,5,04-03-2024 20.32,48.177.59.18,31,62,56,1,0
417,16,10-01-2024 8.46,156.138.22.23,15,80,125,1,0
418,23,04-05-2024 9.59,31.98.115.31,14,87,158,1,1
419,25,18-05-2024 19.00,63.88.197.223,55,91,13,1,1
420,12,16-04-2024 13.14,144.28.220.130,69,30,16,1,0
421,8,25-01-2024 6.37,90.235.3.223,76,79,86,1,0
